,matter_value,surface_history,society_moment,delay_century,union_space,science_range,separate_thick,shelter_technique,solid_different,favor_struggle,substantial_sufficient,task_text,welcome_send,connection_thinking,little_far,state_overcome,contemporary_cool,credit_version,vision_citizen,welfare_development,comfort_comment,package_concrete,confusion_concentration,classic_painful,number_support,clerk_case,pressure_pattern,panic_facility,fill_spread,fund_gas,source_station,general_sharp,temperature_motivation,government_system,lead_left,night_contact,nothing_term,certain_early,country_industry,market_speed,positive_quiet,gain_remove,frame_loan,judge_device,mission_humor,murder_breath,unusual_empty,relief_motion,save_dry,flow_catch,career_origin,ancient_narrow,unique_dead,useful_legal,tension_payment,mental_flat,mobile_soft,pick_bear,occasion_notion,inner_loose,fundamental_gradual,generation_sake,estate_soul,expense_agency,absence_self,apply_tend,trend_pride,fun_grace,grand_instant,curious_isolated,deny_hurry,cry_revenue,award_extend,aspect_variable,worship_quantity,split_reserve,survival_network,mature_logical,cast_raise,core_branc
000000.pt,0.20205537974834442,0.3409482538700104,0.7113219499588013,0.7029436230659485,0.2566487789154053,0.292961984872818,0.9167859554290771,0.7151353359222412,0.8800151348114014,0.8350708484649658,0.9966477751731873,0.31607142090797424,0.7493486404418945,0.6710793972015381,0.33520615100860596,0.3381577730178833,0.29495546221733093,0.28019559383392334,0.2478657066822052,0.28725114464759827,0.27835333347320557,0.7271917462348938,1.0000001192092896,0.28278160095214844,0.3416975140571594,0.27002131938934326,0.7025095820426941,0.6648131608963013,0.6473565101623535,0.6256520748138428,0.28786101937294006,0.3026786148548126,0.9052690267562866,0.2816842794418335,0.3275466859340668,0.24383226037025452,0.6696300506591797,0.8086705207824707,0.23402686417102814,0.2459084391593933,0.842130184173584,0.69675612449646,0.6680449843406677,0.738864004611969,0.6657689809799194,0.6750495433807373,0.8647026419639587,0.7026861310005188,0.29950425028800964,0.6752022504806519,0.6892752647399902,0.8509147763252258,0.734726071357727,0.7016713619232178,0.7071107029914856,0.7203593254089355,0.3105121850967407,0.2679470181465149,0.7639963030815125,0.6201042532920837,0.9226905703544617,0.6917992830276489,0.9003289341926575,0.6921401619911194,0.27299728989601135,0.6151169538497925,0.728901743888855,0.2175624966621399,0.2660687565803528,0.8140246868133545,0.6307631134986877,0.2537161707878113,0.900874137878418,0.6865884065628052,0.909309983253479,0.8583347201347351,0.30254873633384705,0.6443189382553101,0.6654306054115295,0.2802698016166687
005000.pt,0.14371095597743988,0.33293038606643677,0.6810291409492493,0.6671134233474731,0.26113414764404297,0.27129095792770386,0.8876956701278687,0.6490278244018555,0.8506174087524414,0.7945045828819275,0.9960535168647766,0.2784276604652405,0.7000210285186768,0.6450324654579163,0.3374553918838501,0.30937430262565613,0.3048613667488098,0.24861423671245575,0.21786801517009735,0.2472357451915741,0.2569984197616577,0.7080978155136108,1.0,0.27576568722724915,0.33575278520584106,0.22264818847179413,0.6680264472961426,0.6305720806121826,0.586284875869751,0.5792617797851562,0.26483848690986633,0.26359906792640686,0.8860151171684265,0.23754549026489258,0.30706459283828735,0.24935154616832733,0.6211828589439392,0.7840991616249084,0.19538402557373047,0.24838952720165253,0.8072508573532104,0.6587004661560059,0.6106159090995789,0.7139007449150085,0.641412079334259,0.658474862575531,0.8219346404075623,0.6696078181266785,0.2966047525405884,0.6389946937561035,0.6340786218643188,0.8055636882781982,0.7030513286590576,0.6571717858314514,0.6655137538909912,0.6667790412902832,0.31544145941734314,0.27367135882377625,0.7196375727653503,0.5870257019996643,0.8954088091850281,0.6495223045349121,0.8697637319564819,0.6258149743080139,0.2556633949279785,0.5296220779418945,0.6619300246238708,0.19439804553985596,0.2379174530506134,0.7655722498893738,0.5964529514312744,0.2460496425628662,0.8815731406211853,0.644281804561615,0.8665211200714111,0.8213038444519043,0.2788098156452179,0.6072219610214233,0.6172854900360107,0.24353812634944916
010000.pt,0.14354486763477325,0.3283732831478119,0.676224410533905,0.6614702939987183,0.24816526472568512,0.26736706495285034,0.8839659690856934,0.6549808382987976,0.8421535491943359,0.7892225384712219,0.9961274862289429,0.28243812918663025,0.69461590051651,0.6377898454666138,0.3317578136920929,0.2824636697769165,0.30376219749450684,0.24396304786205292,0.21552877128124237,0.24301938712596893,0.25888755917549133,0.7049723863601685,0.9999998807907104,0.2777092456817627,0.3173476755619049,0.21496665477752686,0.6728806495666504,0.6377478241920471,0.5806924104690552,0.5711148977279663,0.24785950779914856,0.26910635828971863,0.8836063742637634,0.22585801780223846,0.30837541818618774,0.2521866261959076,0.6021426320075989,0.7816784977912903,0.19434259831905365,0.24633216857910156,0.8016754984855652,0.6540154218673706,0.5962397456169128,0.712139904499054,0.6473270058631897,0.6588426828384399,0.8168681859970093,0.65655118227005,0.28485026955604553,0.6305196285247803,0.6378827691078186,0.8029188513755798,0.7014268636703491,0.658486008644104,0.6592065691947937,0.672227680683136,0.322569876909256,0.2752309739589691,0.7039653658866882,0.56318598985672,0.8928139209747314,0.6397524476051331,0.8656622171401978,0.6089823842048645,0.2628568112850189,0.5038289427757263,0.6701226830482483,0.18761244416236877,0.2438993752002716,0.7608324289321899,0.5945181846618652,0.23969227075576782,0.8728598356246948,0.6413067579269409,0.8612801432609558,0.8185387849807739,0.274701327085495,0.607943058013916,0.6167420744895935,0.24086034297943115
015000.pt,0.134218230843544,0.3291434049606323,0.6976979374885559,0.6904832124710083,0.24113456904888153,0.27192437648773193,0.892912745475769,0.6810562610626221,0.8603994846343994,0.8099172711372375,0.9964600205421448,0.2763029634952545,0.7071560621261597,0.6658952832221985,0.33333656191825867,0.2696170508861542,0.3044986426830292,0.24670979380607605,0.205703005194664,0.235996812582016,0.27305665612220764,0.7309902310371399,0.9999999403953552,0.28623202443122864,0.3182060718536377,0.19688858091831207,0.701966404914856,0.6638855934143066,0.5902479887008667,0.5960515141487122,0.24809643626213074,0.25456753373146057,0.8970831632614136,0.21368202567100525,0.3081488013267517,0.24631576240062714,0.6170207858085632,0.8054970502853394,0.1944006383419037,0.2404341995716095,0.822761595249176,0.6763515472412109,0.605510950088501,0.7302032709121704,0.6686762571334839,0.6790070533752441,0.8353649377822876,0.6826520562171936,0.29050198197364807,0.6483679413795471,0.6599110960960388,0.8209431767463684,0.721866250038147,0.6747344136238098,0.6824774146080017,0.6899124383926392,0.3161328136920929,0.2988404631614685,0.7247073650360107,0.5867292881011963,0.9051586389541626,0.6626152396202087,0.8750186562538147,0.6274971961975098,0.26427024602890015,0.5242279171943665,0.6882034540176392,0.18604259192943573,0.24993611872196198,0.7817144989967346,0.611752986907959,0.2345360517501831,0.8862192630767822,0.6636800169944763,0.8710005283355713,0.8320832848548889,0.27206963300704956,0.6263618469238281,0.6515460014343262,0.22115793824195862
020000.pt,0.10510078817605972,0.32577425241470337,0.7314159274101257,0.7269924283027649,0.24194425344467163,0.2628602087497711,0.9101827144622803,0.7237733602523804,0.8829648494720459,0.8456976413726807,0.9971822500228882,0.25821805000305176,0.7376421689987183,0.7164683938026428,0.32914817333221436,0.2432033270597458,0.2895011305809021,0.2612890899181366,0.17886649072170258,0.22158272564411163,0.2724948227405548,0.7794858813285828,0.9999999403953552,0.2716314196586609,0.3368302285671234,0.18476833403110504,0.7542524337768555,0.7059541344642639,0.6206632256507874,0.6285766363143921,0.23271076381206512,0.22147426009178162,0.9186756610870361,0.2040812373161316,0.2856578826904297,0.25910985469818115,0.6461222171783447,0.8422014117240906,0.18618187308311462,0.2337368130683899,0.857695996761322,0.71024090051651,0.6343566179275513,0.7570075392723083,0.7093081474304199,0.7232750654220581,0.8590055704116821,0.7186740636825562,0.27679747343063354,0.6756429672241211,0.693221390247345,0.8470607399940491,0.7460535168647766,0.7111573815345764,0.7187390327453613,0.7119540572166443,0.2951261103153229,0.29307734966278076,0.755195140838623,0.6288634538650513,0.9207866191864014,0.7011663913726807,0.8913804888725281,0.6662737727165222,0.25749537348747253,0.5810757875442505,0.7358825206756592,0.1731613427400589,0.24175430834293365,0.8136693239212036,0.6457505226135254,0.22146828472614288,0.9099533557891846,0.6963201761245728,0.8907010555267334,0.8550426363945007,0.25244754552841187,0.6685675382614136,0.6758747100830078,0.1904919296503067
025000.pt,0.10178392380475998,0.30772632360458374,0.7664176225662231,0.7691567540168762,0.2449154108762741,0.25198662281036377,0.919241726398468,0.7544378638267517,0.9072797894477844,0.864047110080719,0.9977607727050781,0.22554214298725128,0.7717957496643066,0.7436135411262512,0.3166531026363373,0.19788546860218048,0.27958399057388306,0.24014624953269958,0.1484036147594452,0.18743596971035004,0.2600713074207306,0.8184553980827332,1.0000001192092896,0.2585657238960266,0.3078092932701111,0.16366271674633026,0.7901629209518433,0.7351952791213989,0.6451325416564941,0.6523047685623169,0.19217044115066528,0.22043918073177338,0.9340084195137024,0.17123933136463165,0.2753084897994995,0.24737496674060822,0.6749449372291565,0.8662317395210266,0.16754628717899323,0.2163430154323578,0.8845699429512024,0.7231729030609131,0.6614553928375244,0.777715265750885,0.7362249493598938,0.7694121599197388,0.8712918758392334,0.7517648339271545,0.27406129240989685,0.7005810737609863,0.7254629135131836,0.8697141408920288,0.7752155065536499,0.7457951903343201,0.7480992674827576,0.7412629723548889,0.2811342775821686,0.27795735001564026,0.7765430212020874,0.6735877990722656,0.930797278881073,0.7350318431854248,0.9087794423103333,0.7064439654350281,0.23820431530475616,0.6082741618156433,0.7602290511131287,0.14479994773864746,0.2297343611717224,0.8344549536705017,0.6756981015205383,0.21487534046173096,0.9249308109283447,0.7383409738540649,0.9100745916366577,0.8665525317192078,0.24947787821292877,0.7067270278930664,0.6808255314826965,0.16737930476665497
030000.pt,0.10203085094690323,0.3141053318977356,0.7751113176345825,0.7776486873626709,0.2220204621553421,0.24934270977973938,0.9297174215316772,0.7756620049476624,0.9163755774497986,0.8800113797187805,0.9981939792633057,0.20129331946372986,0.7936331033706665,0.7731258273124695,0.2935250401496887,0.16928033530712128,0.2573501765727997,0.21702417731285095,0.1182592362165451,0.15334556996822357,0.24826949834823608,0.8327560424804688,1.0000001192092896,0.2454550713300705,0.28996068239212036,0.18398001790046692,0.7960053086280823,0.7750865817070007,0.6690160036087036,0.6891304850578308,0.2166871875524521,0.2017110288143158,0.9403653740882874,0.14572063088417053,0.25461021065711975,0.21363207697868347,0.704181432723999,0.8753988742828369,0.1677112728357315,0.1997775435447693,0.9005977511405945,0.7442686557769775,0.6783437728881836,0.7779071927070618,0.754612147808075,0.8096020817756653,0.8894129395484924,0.7608987092971802,0.2600136995315552,0.708777904510498,0.7586727142333984,0.8834725022315979,0.7718169093132019,0.7594197988510132,0.7825350761413574,0.7554911971092224,0.28532224893569946,0.2695794403553009,0.7922167778015137,0.6838251352310181,0.9402873516082764,0.7415911555290222,0.9154531955718994,0.7310642600059509,0.18555107712745667,0.6383717656135559,0.7751901149749756,0.1392502784729004,0.21550463140010834,0.8559889197349548,0.6850544214248657,0.19380724430084229,0.9308473467826843,0.7809278964996338,0.9139614701271057,0.8790020942687988,0.23579376935958862,0.7225397229194641,0.7081617116928101,0.11438153684139252
035000.pt,0.1274690181016922,0.32568272948265076,0.7735207676887512,0.7775129675865173,0.19536134600639343,0.25748276710510254,0.9254348278045654,0.7433772683143616,0.9139264822006226,0.871667206287384,0.9981033802032471,0.17524802684783936,0.7880048155784607,0.7738559246063232,0.2880358397960663,0.15919360518455505,0.25975391268730164,0.21183589100837708,0.12743376195430756,0.15833477675914764,0.2550971806049347,0.8172972798347473,0.9999999403953552,0.23590369522571564,0.3026781380176544,0.20404848456382751,0.7956544756889343,0.7739369869232178,0.6524736881256104,0.6599847078323364,0.2087121307849884,0.19909951090812683,0.9407505393028259,0.14425931870937347,0.26120659708976746,0.21325360238552094,0.6938248872756958,0.8664286136627197,0.15670239925384521,0.1998594105243683,0.8962464332580566,0.7281714677810669,0.6683351993560791,0.7733910083770752,0.7450563311576843,0.8104729652404785,0.8803369998931885,0.756454348564148,0.26621145009994507,0.6920952796936035,0.745937705039978,0.8756778836250305,0.7757523059844971,0.7499944567680359,0.7747240662574768,0.7422617673873901,0.3436528742313385,0.291231632232666,0.7885374426841736,0.6795061826705933,0.9338994026184082,0.7424452900886536,0.9119127988815308,0.7105502486228943,0.19983582198619843,0.635461688041687,0.7567578554153442,0.13249167799949646,0.235401913523674,0.8545020818710327,0.6721422076225281,0.21426931023597717,0.9267989993095398,0.7555911540985107,0.9114916324615479,0.8713859915733337,0.25040364265441895,0.7125816345214844,0.6796996593475342,0.12057096511125565
040000.pt,0.12393219769001007,0.3069847822189331,0.7818313837051392,0.7909143567085266,0.20488743484020233,0.2506027817726135,0.9266131520271301,0.7411133050918579,0.911331057548523,0.8784542679786682,0.9981679320335388,0.1849518120288849,0.7948919534683228,0.7692959904670715,0.27410829067230225,0.17629940807819366,0.25656405091285706,0.19673196971416473,0.13062480092048645,0.14263290166854858,0.2579882740974426,0.8321441411972046,1.0000001192092896,0.23659741878509521,0.2775256633758545,0.21497926115989685,0.8059048056602478,0.7871972918510437,0.6783692836761475,0.6682389378547668,0.20685575902462006,0.21471796929836273,0.9423890709877014,0.12505246698856354,0.24315033853054047,0.2305590659379959,0.7054486870765686,0.875236988067627,0.1400604099035263,0.18613505363464355,0.8944619297981262,0.7357728481292725,0.6818536520004272,0.788331925868988,0.7663350701332092,0.8214908242225647,0.8775327205657959,0.7629233002662659,0.26484018564224243,0.7083315849304199,0.752352774143219,0.8826354146003723,0.7900049090385437,0.7563768625259399,0.7783353924751282,0.7496447563171387,0.32236209511756897,0.30010786652565,0.7959062457084656,0.6786911487579346,0.9383870363235474,0.7607131004333496,0.9127870798110962,0.7160734534263611,0.18328848481178284,0.6563683748245239,0.7619796395301819,0.1395215392112732,0.23490215837955475,0.8657041788101196,0.7013773918151855,0.1987769603729248,0.9289641976356506,0.7733734846115112,0.9145602583885193,0.878804624080658,0.24638620018959045,0.7231942415237427,0.6793288588523865,0.13078632950782776
045000.pt,0.1337694525718689,0.3602500259876251,0.805092453956604,0.8119164705276489,0.19778600335121155,0.24407844245433807,0.9394645094871521,0.7805423140525818,0.9201427102088928,0.8980036377906799,0.9984310865402222,0.20214052498340607,0.8170799016952515,0.8022379875183105,0.29044708609580994,0.17312955856323242,0.24956682324409485,0.1939512938261032,0.11726334691047668,0.13059483468532562,0.2658340632915497,0.8454619646072388,1.000000238418579,0.2509033977985382,0.2744590640068054,0.22658586502075195,0.8290140628814697,0.8053467869758606,0.6908994913101196,0.7004931569099426,0.229693204164505,0.20170672237873077,0.9480757713317871,0.11926873028278351,0.2639384865760803,0.2386283576488495,0.7285085320472717,0.8877852559089661,0.13296806812286377,0.13030299544334412,0.9112346768379211,0.7621142268180847,0.7216656804084778,0.8046782612800598,0.7829964756965637,0.8422229886054993,0.8973771333694458,0.7874171137809753,0.2770218253135681,0.7443399429321289,0.7786376476287842,0.8951128125190735,0.8034531474113464,0.7815703749656677,0.8015804886817932,0.7671542763710022,0.31932270526885986,0.3134687542915344,0.8088021278381348,0.7123750448226929,0.9476495981216431,0.7778838276863098,0.9265968799591064,0.7573992013931274,0.19245676696300507,0.6734247803688049,0.8003090620040894,0.14365734159946442,0.2206445336341858,0.882142961025238,0.715624988079071,0.22644224762916565,0.9407380223274231,0.7830384373664856,0.9279353022575378,0.8938435316085815,0.26315954327583313,0.7618865370750427,0.7170958518981934,0.12107864022254944
