,ability_competence,chance_opportunity,day_date,danger_risk,force_power,goal_aim,home_family,hope_wish,mistake_error,practice_exercise,problem_question,response_reaction,trip_journey,criteria_standard,believe_trust,compare_contrast,doubt_suspect,draw_paint,decrease_lower,enjoy_like,laugh_smile,look_watch,occur_appear,persist_insist,refuse_reject,relate_connect,study_learn,speak_say,take_fetch,real_true,dark_black,glad_pleased,clever_smart,possible_likely,tall_high,good_nice,accurate_precise,stupid_foolish,lend_borrow,safe_secure,achievement_success,advice_suggestion,apology_regret,artist_painter,advantage_benefit,behavior_action,condition_situation,concept_thought,crop_harvest,creation_invention,discussion_debate,dialogue_talk,door_gate,decision_conclusion,example_model,expert_authority,element_component,future_tomorrow,game_sport,hospital_clinic,knowledge_information,machine_equipment,purpose_intention,report_statement,regulation_policy,seat_chair,story_novel,theory_hypothesis,table_desk,control_manipulate,exist_live,estimate_evaluate,find_discover,organize_arrange,plan_design,reality_truth,receive_accept,tell_inform,anxious_worried,noisy_loud
000000.pt,0.8916407823562622,0.6745067834854126,0.4290303885936737,0.6682369709014893,0.4038075804710388,0.6200475096702576,0.3822093605995178,0.6773061752319336,0.29821068048477173,0.8305848836898804,0.8921032547950745,0.9927821159362793,0.268792062997818,0.26610293984413147,0.8648417592048645,0.8947562575340271,0.8310338854789734,0.6211624145507812,0.7072331309318542,0.32924631237983704,0.620419442653656,0.34069713950157166,0.7317283153533936,0.7199299931526184,0.9686324000358582,0.27507084608078003,0.2323141247034073,0.2713024914264679,0.3312143385410309,0.41875481605529785,0.5279380083084106,0.6301679611206055,0.271793395280838,0.7278367280960083,0.27697911858558655,0.46075117588043213,0.8852744698524475,0.8871051669120789,0.7336938381195068,0.706546425819397,0.8567513823509216,0.760061502456665,0.7587531805038452,0.6850685477256775,0.8521096110343933,0.24008537828922272,0.8213905692100525,0.770271360874176,0.7292771339416504,0.841425895690918,0.8967730402946472,0.24861925840377808,0.6688643097877502,0.7652135491371155,0.26052427291870117,0.7278605699539185,0.7591716647148132,0.3550945520401001,0.2655803859233856,0.8759400248527527,0.38736626505851746,0.27243098616600037,0.8038970232009888,0.41500911116600037,0.293973833322525,0.5979348421096802,0.3353404700756073,0.8464489579200745,0.2667160928249359,0.2559175491333008,0.36412855982780457,0.8014850616455078,0.3082546889781952,0.84018474817276,0.3416290283203125,0.7174975872039795,0.7454788684844971,0.5970176458358765,0.8964674472808838,0.7461141347885132
005000.pt,0.8594145178794861,0.6442879438400269,0.41658490896224976,0.6219303607940674,0.35849684476852417,0.5626680254936218,0.37348881363868713,0.6421632170677185,0.2897570729255676,0.8029338717460632,0.8700113892555237,0.9908485412597656,0.24155071377754211,0.22567732632160187,0.8274368643760681,0.8723304867744446,0.8042452931404114,0.5807612538337708,0.670353353023529,0.2966742515563965,0.5663174390792847,0.33656543493270874,0.6403324007987976,0.6689091324806213,0.9638128280639648,0.267985999584198,0.22829541563987732,0.2711181938648224,0.3046656548976898,0.43011802434921265,0.5374355316162109,0.6180205345153809,0.24855630099773407,0.6759731769561768,0.26775893568992615,0.46543028950691223,0.8522214293479919,0.838772177696228,0.6912825703620911,0.6663587093353271,0.8249192237854004,0.6970311999320984,0.7085789442062378,0.6485194563865662,0.8250591158866882,0.21541719138622284,0.7888243198394775,0.7302411198616028,0.6877251267433167,0.8021726012229919,0.8784508109092712,0.22692202031612396,0.6160972118377686,0.7392650842666626,0.26705312728881836,0.699310839176178,0.6870702505111694,0.3581143617630005,0.21757468581199646,0.844047486782074,0.35611850023269653,0.2649841010570526,0.78875333070755,0.3896122872829437,0.25871026515960693,0.5478845834732056,0.311625599861145,0.7733009457588196,0.23860792815685272,0.23347918689250946,0.35112038254737854,0.7690760493278503,0.30217671394348145,0.7997741103172302,0.3095473051071167,0.6641143560409546,0.6852149963378906,0.5747285485267639,0.8605178594589233,0.7087964415550232
010000.pt,0.8573071360588074,0.6484280228614807,0.40917015075683594,0.617176353931427,0.3504467308521271,0.5602298378944397,0.38459843397140503,0.6291990876197815,0.2893875539302826,0.8062846064567566,0.8622265458106995,0.9905341863632202,0.23790982365608215,0.22055692970752716,0.8260356187820435,0.8712632060050964,0.7961176633834839,0.5917843580245972,0.6655882000923157,0.28076058626174927,0.5638365149497986,0.33490225672721863,0.6214751601219177,0.6715380549430847,0.9627865552902222,0.2657729983329773,0.23430873453617096,0.27045682072639465,0.2883603274822235,0.43829262256622314,0.556995689868927,0.6259274482727051,0.2382817268371582,0.6725402474403381,0.2564822733402252,0.4410124719142914,0.845047652721405,0.8288803100585938,0.6900217533111572,0.6555958390235901,0.825188398361206,0.6972368359565735,0.6982075572013855,0.6492448449134827,0.8309000730514526,0.20534437894821167,0.7931076884269714,0.7259293794631958,0.6861500144004822,0.7934146523475647,0.8775722980499268,0.225364089012146,0.59665447473526,0.7351146340370178,0.2501727044582367,0.6866270899772644,0.674308180809021,0.36044755578041077,0.20935207605361938,0.8391134142875671,0.3505941927433014,0.27076321840286255,0.7884982824325562,0.37945178151130676,0.25034478306770325,0.5490044355392456,0.30516570806503296,0.7567664384841919,0.23729169368743896,0.22692997753620148,0.34443703293800354,0.769645631313324,0.30775147676467896,0.7947847247123718,0.30942535400390625,0.6634647250175476,0.6715166568756104,0.5549913644790649,0.8593113422393799,0.6902425289154053
015000.pt,0.8722766041755676,0.6676409244537354,0.4087238907814026,0.6465214490890503,0.3574731647968292,0.579537570476532,0.3913676142692566,0.6468400955200195,0.29079779982566833,0.8252643942832947,0.8772312998771667,0.9909645318984985,0.2360311895608902,0.21650825440883636,0.8432711362838745,0.8829256296157837,0.8149766325950623,0.609744668006897,0.6907759308815002,0.27125683426856995,0.5838576555252075,0.3312055170536041,0.6422639489173889,0.6931122541427612,0.9616914987564087,0.2626519501209259,0.24329683184623718,0.2642870247364044,0.28077077865600586,0.4306979477405548,0.5546537041664124,0.6513373255729675,0.2376832664012909,0.695461094379425,0.25474923849105835,0.4382307231426239,0.8617379665374756,0.8392643332481384,0.7095878720283508,0.6699123978614807,0.8407719731330872,0.7116860151290894,0.7050207257270813,0.6754361987113953,0.8516258597373962,0.19431239366531372,0.8128235340118408,0.7403639554977417,0.7071972489356995,0.813355565071106,0.8904711008071899,0.2299768328666687,0.6227302551269531,0.7491474151611328,0.24630963802337646,0.7094660997390747,0.6882128119468689,0.35018572211265564,0.20824912190437317,0.8581711053848267,0.34664878249168396,0.2681579291820526,0.8135105967521667,0.365005761384964,0.24055886268615723,0.5719164609909058,0.3200799524784088,0.7676721215248108,0.24118365347385406,0.2258344441652298,0.33821406960487366,0.7939096093177795,0.30257007479667664,0.814012348651886,0.2993677854537964,0.6817163825035095,0.6840934753417969,0.5850961208343506,0.8704628944396973,0.6981887221336365
020000.pt,0.8936974406242371,0.7023121118545532,0.3885934352874756,0.690854012966156,0.37173283100128174,0.6266575455665588,0.4104677140712738,0.6695655584335327,0.27221766114234924,0.8637063503265381,0.8983790874481201,0.9918054938316345,0.21876659989356995,0.19985231757164001,0.8656244874000549,0.8970413208007812,0.8429293036460876,0.6533933281898499,0.7352615594863892,0.25297093391418457,0.6245320439338684,0.3319709002971649,0.6778032183647156,0.7381069660186768,0.9610133767127991,0.24181178212165833,0.22984819114208221,0.2449532151222229,0.2565668225288391,0.40696364641189575,0.551696240901947,0.6930078864097595,0.22989588975906372,0.7406116127967834,0.2355542629957199,0.43749290704727173,0.8862764835357666,0.8554947376251221,0.7414529919624329,0.7032464146614075,0.8734019994735718,0.7459710240364075,0.7291484475135803,0.7190384268760681,0.8819937705993652,0.17201928794384003,0.8382043838500977,0.7639236450195312,0.7415668964385986,0.8437795639038086,0.9058640599250793,0.22849707305431366,0.636672854423523,0.7762584090232849,0.2105713039636612,0.751878023147583,0.7237106561660767,0.3141425848007202,0.18896549940109253,0.8884962797164917,0.2997470796108246,0.24842363595962524,0.8453482985496521,0.3409990668296814,0.21081534028053284,0.6188422441482544,0.3094198405742645,0.7809205651283264,0.22996321320533752,0.19476427137851715,0.31483983993530273,0.8229888081550598,0.2873051166534424,0.8415102958679199,0.2959642708301544,0.7109217643737793,0.7110724449157715,0.6346754431724548,0.8926368355751038,0.7275723218917847
025000.pt,0.9101127982139587,0.7425174117088318,0.38388487696647644,0.7206315398216248,0.3298381567001343,0.6682471632957458,0.3857364058494568,0.7112245559692383,0.2404111623764038,0.8932185769081116,0.9179796576499939,0.9928073287010193,0.19418983161449432,0.17671234905719757,0.8837334513664246,0.9069623351097107,0.8726755976676941,0.7026439309120178,0.7588651180267334,0.22602975368499756,0.6677579879760742,0.3322214186191559,0.7074602842330933,0.7673361897468567,0.9626889824867249,0.22619007527828217,0.2027682363986969,0.2287692278623581,0.21635936200618744,0.39078250527381897,0.525138258934021,0.7325498461723328,0.20045249164104462,0.7649869918823242,0.18714387714862823,0.42669808864593506,0.9005303382873535,0.8745602369308472,0.7722845673561096,0.7325118184089661,0.8987138271331787,0.7703179121017456,0.7387734651565552,0.7415502667427063,0.9016481637954712,0.14391325414180756,0.8679778575897217,0.776488184928894,0.7739284038543701,0.8717682361602783,0.9213102459907532,0.21544302999973297,0.6656550168991089,0.7882062792778015,0.18730540573596954,0.7714418768882751,0.7560358047485352,0.2973676919937134,0.16712285578250885,0.8993462920188904,0.2598434090614319,0.21402204036712646,0.8705292344093323,0.328034907579422,0.19743111729621887,0.6481992602348328,0.2998742461204529,0.7822562456130981,0.22235028445720673,0.1680389642715454,0.3076019287109375,0.8446953296661377,0.27488189935684204,0.8617123365402222,0.268069326877594,0.7451013326644897,0.7370380759239197,0.6668128371238708,0.9038974642753601,0.7524877786636353
030000.pt,0.9262810945510864,0.7870846390724182,0.34292182326316833,0.7635791897773743,0.298892080783844,0.6668757796287537,0.40357616543769836,0.7579517960548401,0.1905481517314911,0.9074345827102661,0.9216222763061523,0.9935591220855713,0.20279353857040405,0.1527407020330429,0.8930027484893799,0.9147924780845642,0.8953935503959656,0.7106657028198242,0.7815076112747192,0.22244593501091003,0.6783458590507507,0.33294224739074707,0.7364019155502319,0.7787602543830872,0.9637884497642517,0.21111640334129333,0.1691034585237503,0.22259588539600372,0.1974308043718338,0.39303281903266907,0.5012236833572388,0.7536037564277649,0.1603669822216034,0.7871007919311523,0.17849040031433105,0.4161848723888397,0.907119870185852,0.8796409964561462,0.7805542945861816,0.7415830492973328,0.9146780371665955,0.7708589434623718,0.7743512988090515,0.7429624795913696,0.9123963117599487,0.11164338141679764,0.8903008699417114,0.7991910576820374,0.7925831079483032,0.8899110555648804,0.9200637936592102,0.17179612815380096,0.6899588108062744,0.7997719049453735,0.16834168136119843,0.7927578687667847,0.7561091184616089,0.2839968800544739,0.15093205869197845,0.9112189412117004,0.24197928607463837,0.21847862005233765,0.8892388939857483,0.3258083462715149,0.19467708468437195,0.6707726120948792,0.27711668610572815,0.7952561378479004,0.18741975724697113,0.11962047219276428,0.2410367876291275,0.8625491261482239,0.2536907494068146,0.8685331344604492,0.25671568512916565,0.7826725840568542,0.7645726799964905,0.6932878494262695,0.9085339903831482,0.7573840022087097
035000.pt,0.9153255224227905,0.7869554162025452,0.30825522541999817,0.7740793228149414,0.28025713562965393,0.6569705605506897,0.35214948654174805,0.7636500000953674,0.18761301040649414,0.9035787582397461,0.9186266660690308,0.9929700493812561,0.18070873618125916,0.15724238753318787,0.880748450756073,0.9070730209350586,0.888529896736145,0.6980643272399902,0.7766637206077576,0.21762239933013916,0.6680129170417786,0.31913435459136963,0.7236953377723694,0.7759318351745605,0.9616918563842773,0.21049559116363525,0.17477665841579437,0.24190247058868408,0.197880357503891,0.3898947834968567,0.493131548166275,0.7398582100868225,0.1578976809978485,0.7813037037849426,0.1680135279893875,0.41203543543815613,0.9065091013908386,0.8761081099510193,0.7711009383201599,0.7447050213813782,0.9062738418579102,0.7645682692527771,0.7659758925437927,0.7326346039772034,0.9127568006515503,0.11376965045928955,0.8884391784667969,0.7951208353042603,0.7920855283737183,0.8825910687446594,0.9196726679801941,0.1769491583108902,0.6578929424285889,0.7869150042533875,0.1927589327096939,0.8007664084434509,0.7464414238929749,0.288369357585907,0.1458260864019394,0.9040595293045044,0.2722267210483551,0.2266826331615448,0.8817843794822693,0.3047722280025482,0.21766623854637146,0.6638426780700684,0.27160701155662537,0.7696506977081299,0.1794280856847763,0.147969588637352,0.26533129811286926,0.8561758399009705,0.2517927587032318,0.8620754480361938,0.23340296745300293,0.7618090510368347,0.7541237473487854,0.6904424428939819,0.9040753841400146,0.7535601258277893
040000.pt,0.9174026846885681,0.7983962893486023,0.30815190076828003,0.7885112762451172,0.2786519229412079,0.6605298519134521,0.3323443531990051,0.7686556577682495,0.18308939039707184,0.9097516536712646,0.9216599464416504,0.9931627511978149,0.18599340319633484,0.16908928751945496,0.8885214924812317,0.911905825138092,0.8866665363311768,0.7164126634597778,0.7868859767913818,0.1902034431695938,0.6813873648643494,0.32252904772758484,0.7602105736732483,0.7739055156707764,0.9621024131774902,0.20247744023799896,0.17443594336509705,0.2385989874601364,0.1857886016368866,0.3348488509654999,0.476614773273468,0.7482160925865173,0.1791454702615738,0.7714100480079651,0.1580968201160431,0.4170286953449249,0.9092155694961548,0.8899078965187073,0.7688949108123779,0.7640024423599243,0.9118274450302124,0.777759850025177,0.7684141993522644,0.7395261526107788,0.9178258180618286,0.11436693370342255,0.8862515687942505,0.8009797930717468,0.7982346415519714,0.8914890289306641,0.9218782186508179,0.18444527685642242,0.6654989719390869,0.7972579002380371,0.20511509478092194,0.7951362729072571,0.7580891847610474,0.2801316976547241,0.15151625871658325,0.9051318764686584,0.2760591208934784,0.21238644421100616,0.8885839581489563,0.30613669753074646,0.1975664645433426,0.6801193952560425,0.26719874143600464,0.764661967754364,0.15142449736595154,0.1351957470178604,0.2756474018096924,0.8660113215446472,0.26009297370910645,0.8637765645980835,0.20741181075572968,0.7602708339691162,0.7703874111175537,0.6796835660934448,0.9062021374702454,0.756315290927887
045000.pt,0.9276926517486572,0.8241825103759766,0.3250996172428131,0.8101081848144531,0.28687983751296997,0.6897497773170471,0.32263317704200745,0.805342972278595,0.17381446063518524,0.9247456192970276,0.9325429201126099,0.9942743182182312,0.17041665315628052,0.18042156100273132,0.9067337512969971,0.917037844657898,0.9018433690071106,0.750885009765625,0.8145309686660767,0.17764712870121002,0.7207373380661011,0.30470970273017883,0.7700914740562439,0.7860997915267944,0.9664142727851868,0.1976282298564911,0.16896222531795502,0.26543888449668884,0.1824290156364441,0.36417356133461,0.4508008062839508,0.763852059841156,0.23447464406490326,0.8052279353141785,0.1735454499721527,0.40026789903640747,0.9210367798805237,0.9044013023376465,0.794653058052063,0.7824601531028748,0.9259186387062073,0.8030678033828735,0.7977588772773743,0.7570744752883911,0.927421510219574,0.11908962577581406,0.9027344584465027,0.818008542060852,0.819709300994873,0.8996384739875793,0.9309297800064087,0.19962316751480103,0.6934962868690491,0.8198779225349426,0.22183549404144287,0.8228134512901306,0.7716550230979919,0.28908270597457886,0.19620122015476227,0.9183822870254517,0.27091389894485474,0.2290389984846115,0.9006817936897278,0.2918834984302521,0.2010888308286667,0.7124456167221069,0.24194903671741486,0.7861508131027222,0.1733405739068985,0.12719696760177612,0.2846287488937378,0.8861409425735474,0.2745760679244995,0.8816283345222473,0.21396689116954803,0.7985911965370178,0.7964934706687927,0.720109760761261,0.914857804775238,0.7766855359077454
