,matter_value,surface_history,society_moment,delay_century,union_space,science_range,separate_thick,shelter_technique,solid_different,favor_struggle,substantial_sufficient,task_text,welcome_send,connection_thinking,little_far,state_overcome,contemporary_cool,credit_version,vision_citizen,welfare_development,comfort_comment,package_concrete,confusion_concentration,classic_painful,number_support,clerk_case,pressure_pattern,panic_facility,fill_spread,fund_gas,source_station,general_sharp,temperature_motivation,government_system,lead_left,night_contact,nothing_term,certain_early,country_industry,market_speed,positive_quiet,gain_remove,frame_loan,judge_device,mission_humor,murder_breath,unusual_empty,relief_motion,save_dry,flow_catch,career_origin,ancient_narrow,unique_dead,useful_legal,tension_payment,mental_flat,mobile_soft,pick_bear,occasion_notion,inner_loose,fundamental_gradual,generation_sake,estate_soul,expense_agency,absence_self,apply_tend,trend_pride,fun_grace,grand_instant,curious_isolated,deny_hurry,cry_revenue,award_extend,aspect_variable,worship_quantity,split_reserve,survival_network,mature_logical,cast_raise,core_branc
00000.pt,0.1941530704498291,0.3770754039287567,0.8403277397155762,0.8421876430511475,0.22080585360527039,0.2902214825153351,0.957443118095398,0.8104926347732544,0.9398028254508972,0.9163322448730469,0.9988741278648376,0.2523002326488495,0.8512842655181885,0.8408842086791992,0.40536871552467346,0.19288721680641174,0.2884153723716736,0.20297902822494507,0.15893100202083588,0.15440084040164948,0.3326617479324341,0.8875666260719299,1.0000001192092896,0.32671937346458435,0.23793180286884308,0.261689692735672,0.8645978569984436,0.841772198677063,0.733512818813324,0.7629133462905884,0.19059135019779205,0.23624491691589355,0.9584142565727234,0.1757476031780243,0.3297255337238312,0.26708585023880005,0.7687251567840576,0.908402144908905,0.1304154396057129,0.1571281999349594,0.9307906031608582,0.8101248145103455,0.7646454572677612,0.8466694951057434,0.8226965069770813,0.8730313777923584,0.9250807166099548,0.8199227452278137,0.3636981248855591,0.7841306328773499,0.8249155879020691,0.925205647945404,0.8466657996177673,0.8241839408874512,0.8444114923477173,0.8016863465309143,0.30131685733795166,0.34361693263053894,0.8391456007957458,0.772395670413971,0.9626542925834656,0.8404139280319214,0.9444487690925598,0.7970196604728699,0.2571045458316803,0.7324489951133728,0.8448973894119263,0.1990940272808075,0.3001422882080078,0.9112381935119629,0.7879002690315247,0.26038822531700134,0.9508129954338074,0.8291221857070923,0.9419368505477905,0.9112023711204529,0.3133448362350464,0.8008511066436768,0.7765824794769287,0.17941412329673767
01000.pt,0.19460058212280273,0.37691783905029297,0.8408780694007874,0.8424582481384277,0.21724286675453186,0.28895092010498047,0.9572764039039612,0.8094045519828796,0.9396103024482727,0.915645956993103,0.9988694190979004,0.2507416903972626,0.8515201807022095,0.8400252461433411,0.40541645884513855,0.19278083741664886,0.2882375121116638,0.20006388425827026,0.15714211761951447,0.15331868827342987,0.3320464789867401,0.8877655863761902,1.0000001192092896,0.32920271158218384,0.24109213054180145,0.2633034288883209,0.8643915057182312,0.8412097096443176,0.7324075698852539,0.7637550830841064,0.19068603217601776,0.23759107291698456,0.9580543637275696,0.17546367645263672,0.3300403654575348,0.2670189142227173,0.7702187299728394,0.908089280128479,0.12481503188610077,0.15797246992588043,0.9305556416511536,0.8112948536872864,0.7656301856040955,0.847567617893219,0.8226444125175476,0.8722883462905884,0.9252716898918152,0.8200235962867737,0.3646501302719116,0.784812867641449,0.8240294456481934,0.9250121116638184,0.8474560379981995,0.823241114616394,0.8440377712249756,0.8021935820579529,0.30097272992134094,0.3430365324020386,0.8401535749435425,0.7712265849113464,0.9625750780105591,0.8380526900291443,0.9448199272155762,0.7974839210510254,0.25386133790016174,0.7298255562782288,0.8429226279258728,0.19918301701545715,0.3008711636066437,0.9103166460990906,0.7872548699378967,0.2582283616065979,0.9507801532745361,0.8281710147857666,0.941581130027771,0.9113171696662903,0.3133973479270935,0.798096776008606,0.7761006355285645,0.17705032229423523
02000.pt,0.19460010528564453,0.3752509355545044,0.8401997685432434,0.8398963212966919,0.21108251810073853,0.2874922454357147,0.9565353393554688,0.8094042539596558,0.9396900534629822,0.9144719839096069,0.998856246471405,0.2546147406101227,0.8477115631103516,0.8407058119773865,0.3969012200832367,0.1941584050655365,0.2869802415370941,0.19177281856536865,0.15807446837425232,0.1422797590494156,0.33455973863601685,0.8857961297035217,1.0,0.3183004558086395,0.2397177666425705,0.26217013597488403,0.859244704246521,0.8402677774429321,0.72575843334198,0.7598550319671631,0.18863652646541595,0.22963222861289978,0.9560360908508301,0.1768779754638672,0.3302571475505829,0.26527243852615356,0.7579619288444519,0.9074079990386963,0.12206786870956421,0.16467465460300446,0.9289339780807495,0.8097888231277466,0.7574886679649353,0.84819096326828,0.8178053498268127,0.8708798289299011,0.922661542892456,0.817552924156189,0.3631836175918579,0.7834522724151611,0.8234461545944214,0.9222273230552673,0.8447690010070801,0.8219996094703674,0.8382470011711121,0.7964648604393005,0.30575111508369446,0.33665716648101807,0.8334899544715881,0.7626743912696838,0.9621197581291199,0.838212251663208,0.9427432417869568,0.7958118915557861,0.24813009798526764,0.7195188999176025,0.8379845023155212,0.19918298721313477,0.3067725896835327,0.9095242023468018,0.7871872782707214,0.2525557577610016,0.9497582912445068,0.8284335732460022,0.9404225945472717,0.9097115993499756,0.3124619126319885,0.7980095744132996,0.7729731798171997,0.18313023447990417
03000.pt,0.18314620852470398,0.37534239888191223,0.8388798832893372,0.8341554403305054,0.20786935091018677,0.27578410506248474,0.9551904797554016,0.8075599074363708,0.9386023879051208,0.9140058755874634,0.9988759160041809,0.26039472222328186,0.8301776647567749,0.8407058715820312,0.39690113067626953,0.1751410961151123,0.2872007489204407,0.190363809466362,0.1547582894563675,0.13611114025115967,0.3321097493171692,0.8834258317947388,1.0,0.3170064389705658,0.24244119226932526,0.2626265287399292,0.857430100440979,0.8361598253250122,0.7219175696372986,0.7594094276428223,0.1886364072561264,0.23272369801998138,0.9544517397880554,0.17774569988250732,0.32907432317733765,0.2652726173400879,0.7513247728347778,0.9019103050231934,0.12684457004070282,0.1454046666622162,0.9224138259887695,0.8039553165435791,0.7432418465614319,0.8451277613639832,0.8124955892562866,0.8676437139511108,0.9163820147514343,0.8157252669334412,0.36318284273147583,0.7734372019767761,0.812931478023529,0.9220712780952454,0.8386966586112976,0.8145237565040588,0.8358752131462097,0.7898440361022949,0.30629032850265503,0.33665740489959717,0.8285884857177734,0.7578855752944946,0.9617346525192261,0.8350525498390198,0.9365155696868896,0.7877283692359924,0.2343328893184662,0.7155296802520752,0.8245106935501099,0.1991829127073288,0.30381104350090027,0.9071430563926697,0.7704865336418152,0.25232115387916565,0.9483782052993774,0.8245413899421692,0.9362857937812805,0.9070219993591309,0.31057554483413696,0.7913533449172974,0.7631757855415344,0.17165610194206238
04000.pt,0.17665521800518036,0.37534236907958984,0.8367286324501038,0.8314462304115295,0.2091715931892395,0.2787442207336426,0.953339695930481,0.8050057291984558,0.9356415867805481,0.907207190990448,0.9988541007041931,0.26011142134666443,0.8293628096580505,0.8407056927680969,0.39516711235046387,0.18531733751296997,0.2845652997493744,0.19359375536441803,0.15249492228031158,0.132621631026268,0.3319432735443115,0.8832887411117554,0.9999998807907104,0.31534332036972046,0.2452339082956314,0.2644960582256317,0.8566145300865173,0.8262308835983276,0.7158789038658142,0.7445567846298218,0.17315097153186798,0.2371484637260437,0.9526915550231934,0.1759771704673767,0.3301767408847809,0.25936222076416016,0.7474470734596252,0.9012627601623535,0.12472698837518692,0.1565229743719101,0.9213445782661438,0.7993480563163757,0.739355206489563,0.8412635326385498,0.811533510684967,0.866468608379364,0.9161824584007263,0.8137766122817993,0.36374565958976746,0.771679162979126,0.812861979007721,0.9189924597740173,0.8338765501976013,0.8103007078170776,0.8353307843208313,0.7848027944564819,0.3035300374031067,0.3343946039676666,0.8277699947357178,0.7514967918395996,0.9595639109611511,0.8335075378417969,0.9363539218902588,0.7834022045135498,0.2238829880952835,0.7097047567367554,0.8255004286766052,0.19425681233406067,0.3010769486427307,0.9054881930351257,0.7606214284896851,0.2596564292907715,0.9451016783714294,0.8213385343551636,0.9359219670295715,0.9026504158973694,0.30847951769828796,0.7867922186851501,0.7624634504318237,0.17347131669521332
05000.pt,0.17306548357009888,0.3725355267524719,0.8361887335777283,0.8309077024459839,0.2107897698879242,0.27883145213127136,0.9512967467308044,0.8069278001785278,0.9346441626548767,0.9051839709281921,0.9988540410995483,0.2595221698284149,0.8287879824638367,0.833388090133667,0.3923710882663727,0.18974752724170685,0.27453336119651794,0.1844070553779602,0.14635244011878967,0.13598203659057617,0.3313125967979431,0.881579577922821,1.0,0.3164304494857788,0.24872542917728424,0.2601262331008911,0.8551258444786072,0.8268038034439087,0.7151175141334534,0.7398639917373657,0.16072195768356323,0.2313007265329361,0.9517174363136292,0.1724914163351059,0.33268028497695923,0.26459038257598877,0.740565299987793,0.9007580876350403,0.12588989734649658,0.15351441502571106,0.9200106263160706,0.7963832020759583,0.7356564402580261,0.8402984738349915,0.8116496801376343,0.8665204048156738,0.916001558303833,0.8127875924110413,0.3627333641052246,0.7697296142578125,0.8120395541191101,0.9172574281692505,0.8331916332244873,0.8097577691078186,0.8302767872810364,0.7827745079994202,0.30037620663642883,0.3343947231769562,0.8261557221412659,0.7516249418258667,0.9586408734321594,0.832312285900116,0.9362765550613403,0.7851510047912598,0.21839752793312073,0.7012240886688232,0.8244411945343018,0.1942567229270935,0.304196298122406,0.9037463068962097,0.7586016654968262,0.256868839263916,0.9456671476364136,0.8189461827278137,0.9357476234436035,0.9023786187171936,0.3084797263145447,0.7857353687286377,0.7627296447753906,0.17237696051597595
06000.pt,0.17086927592754364,0.3803444504737854,0.8360289335250854,0.8294515013694763,0.21062661707401276,0.27797356247901917,0.9503397941589355,0.8038409948348999,0.9334827661514282,0.9053890109062195,0.9988505840301514,0.25191816687583923,0.8288601040840149,0.8319610357284546,0.39275383949279785,0.19623413681983948,0.27480918169021606,0.19921104609966278,0.15067076683044434,0.1334865540266037,0.33193594217300415,0.8810661435127258,1.0000001192092896,0.31812232732772827,0.2486487329006195,0.25978705286979675,0.8534700274467468,0.8262685537338257,0.7136983871459961,0.7395943403244019,0.16047047078609467,0.22823452949523926,0.950921893119812,0.171775683760643,0.3326314091682434,0.26752448081970215,0.7382588386535645,0.9018009901046753,0.12851451337337494,0.14520668983459473,0.9188753962516785,0.7946429252624512,0.7316001653671265,0.8352559208869934,0.8099168539047241,0.8649836182594299,0.9166104197502136,0.8097099661827087,0.36227309703826904,0.7688792943954468,0.8119828104972839,0.9155761003494263,0.8306539058685303,0.8067705035209656,0.8280513882637024,0.7788300514221191,0.29743266105651855,0.33036765456199646,0.8236833214759827,0.7466813325881958,0.958389401435852,0.8301135897636414,0.9357671141624451,0.784323513507843,0.21394789218902588,0.7000377178192139,0.8226312398910522,0.19425611197948456,0.30779269337654114,0.9028315544128418,0.7557356357574463,0.2551320493221283,0.9445050358772278,0.8161322474479675,0.9346607327461243,0.901436984539032,0.3084816336631775,0.7830268144607544,0.7593427896499634,0.17226271331310272
07000.pt,0.1699749380350113,0.3687468469142914,0.8360275030136108,0.8271960020065308,0.20776303112506866,0.2769000232219696,0.9505686163902283,0.8032883405685425,0.9338154196739197,0.904424250125885,0.9988465309143066,0.24973684549331665,0.8276171684265137,0.8328608870506287,0.3933297097682953,0.19515232741832733,0.274702250957489,0.19302336871623993,0.1527276486158371,0.13278554379940033,0.3320114016532898,0.8808838725090027,0.9999998807907104,0.31799906492233276,0.2496957629919052,0.25553202629089355,0.8527581691741943,0.8246216773986816,0.714203417301178,0.7386400699615479,0.16159307956695557,0.228018119931221,0.9507284164428711,0.17547939717769623,0.32762274146080017,0.2675243318080902,0.739242672920227,0.9012529253959656,0.12856341898441315,0.145559623837471,0.9182103872299194,0.7920028567314148,0.7313141226768494,0.8317214250564575,0.810509443283081,0.8641294836997986,0.915054202079773,0.8096637725830078,0.3630044460296631,0.7667889595031738,0.81038498878479,0.9134968519210815,0.8300719261169434,0.8051968812942505,0.8249812126159668,0.7772617340087891,0.29804885387420654,0.33036744594573975,0.825191080570221,0.7461110353469849,0.9583755135536194,0.8308671712875366,0.9344238638877869,0.7847239375114441,0.21484099328517914,0.6992197036743164,0.8186731338500977,0.19425566494464874,0.3041733503341675,0.9018513560295105,0.7540928721427917,0.25760987401008606,0.9443889260292053,0.8160015940666199,0.9347389340400696,0.9009394645690918,0.30780091881752014,0.7806980013847351,0.759419322013855,0.17249292135238647
08000.pt,0.16856546700000763,0.37005171179771423,0.8347678780555725,0.8269739747047424,0.20251387357711792,0.2775851786136627,0.9507003426551819,0.8029515147209167,0.9337778091430664,0.9039337038993835,0.9988486170768738,0.24725855886936188,0.8276033401489258,0.8324971795082092,0.3933296799659729,0.19312922656536102,0.27463653683662415,0.18911975622177124,0.1515507996082306,0.1317823827266693,0.3319339454174042,0.880813717842102,1.0,0.3189783990383148,0.24589182436466217,0.2548772394657135,0.8516928553581238,0.8235939145088196,0.715255856513977,0.7376125454902649,0.1578923463821411,0.2270713597536087,0.9500752091407776,0.17565862834453583,0.3280782103538513,0.2654687464237213,0.740473747253418,0.9007202386856079,0.13061405718326569,0.14299549162387848,0.9181255102157593,0.7915486097335815,0.7307553887367249,0.8317328691482544,0.8103430867195129,0.8636483550071716,0.9149265885353088,0.809011697769165,0.36300432682037354,0.7663921117782593,0.8095653057098389,0.9137672781944275,0.8291786313056946,0.8049222826957703,0.824796736240387,0.7785990834236145,0.3004823923110962,0.3263711631298065,0.825086236000061,0.7446104288101196,0.9583463072776794,0.8315341472625732,0.9345898628234863,0.7847854495048523,0.21475517749786377,0.6991353034973145,0.8177626132965088,0.19425584375858307,0.3056456744670868,0.9014220833778381,0.7537892460823059,0.2579442858695984,0.9442164301872253,0.8152467608451843,0.93462073802948,0.900338888168335,0.3073059320449829,0.7800852060317993,0.7587699890136719,0.17674441635608673
09000.pt,0.16964325308799744,0.37050560116767883,0.834785521030426,0.8257371187210083,0.1998787671327591,0.2782081961631775,0.9508278965950012,0.8035641312599182,0.9337793588638306,0.9037359952926636,0.9988433718681335,0.24575115740299225,0.8279160857200623,0.832497239112854,0.39263367652893066,0.1935947984457016,0.2746451795101166,0.18904919922351837,0.15079344809055328,0.13343201577663422,0.33149540424346924,0.8810603022575378,0.9999998211860657,0.3191320300102234,0.24484695494174957,0.2550804316997528,0.8510769009590149,0.823683500289917,0.7163524031639099,0.7346627712249756,0.15848812460899353,0.22363069653511047,0.950065016746521,0.17809033393859863,0.32715529203414917,0.2646739184856415,0.7406688928604126,0.9006384015083313,0.1313249170780182,0.14183470606803894,0.9179745316505432,0.7912803292274475,0.7295069694519043,0.8308306336402893,0.8089602589607239,0.8631584644317627,0.9144081473350525,0.8095243573188782,0.35956060886383057,0.7656106948852539,0.8092184066772461,0.9138287305831909,0.8287013173103333,0.8045080304145813,0.8245101571083069,0.7787505388259888,0.30154159665107727,0.32597699761390686,0.8247357606887817,0.7444881796836853,0.9582924842834473,0.8309562802314758,0.9343488812446594,0.7838210463523865,0.21511012315750122,0.6985992193222046,0.817668080329895,0.19425532221794128,0.3047906756401062,0.9008762240409851,0.7519707083702087,0.25905075669288635,0.9434468746185303,0.8154701590538025,0.9348763227462769,0.9005159735679626,0.30597183108329773,0.7807685136795044,0.7580417990684509,0.17705214023590088
