,ability_competence,chance_opportunity,day_date,danger_risk,force_power,goal_aim,home_family,hope_wish,mistake_error,practice_exercise,problem_question,response_reaction,trip_journey,criteria_standard,believe_trust,compare_contrast,doubt_suspect,draw_paint,decrease_lower,enjoy_like,laugh_smile,look_watch,occur_appear,persist_insist,refuse_reject,relate_connect,study_learn,speak_say,take_fetch,real_true,dark_black,glad_pleased,clever_smart,possible_likely,tall_high,good_nice,accurate_precise,stupid_foolish,lend_borrow,safe_secure,achievement_success,advice_suggestion,apology_regret,artist_painter,advantage_benefit,behavior_action,condition_situation,concept_thought,crop_harvest,creation_invention,discussion_debate,dialogue_talk,door_gate,decision_conclusion,example_model,expert_authority,element_component,future_tomorrow,game_sport,hospital_clinic,knowledge_information,machine_equipment,purpose_intention,report_statement,regulation_policy,seat_chair,story_novel,theory_hypothesis,table_desk,control_manipulate,exist_live,estimate_evaluate,find_discover,organize_arrange,plan_design,reality_truth,receive_accept,tell_inform,anxious_worried,noisy_loud
00000.pt,0.9458309412002563,0.8702012896537781,0.2713390290737152,0.8586906790733337,0.2911180257797241,0.7534029483795166,0.35015052556991577,0.8488954305648804,0.19304172694683075,0.9459583759307861,0.9510413408279419,0.9953453540802002,0.21404357254505157,0.24501705169677734,0.9290814399719238,0.9316760897636414,0.9230642318725586,0.7825672626495361,0.8426548838615417,0.20609982311725616,0.7752971053123474,0.3748248219490051,0.8188835978507996,0.829566478729248,0.970973014831543,0.2197638303041458,0.23044288158416748,0.31604525446891785,0.19436007738113403,0.3869016468524933,0.5417474508285522,0.7918211221694946,0.28921398520469666,0.849379301071167,0.23039251565933228,0.4300176203250885,0.9419935345649719,0.921129584312439,0.8346648812294006,0.8332741856575012,0.9450626969337463,0.8517476320266724,0.8387637138366699,0.8139869570732117,0.9453577995300293,0.13729733228683472,0.9180158972740173,0.8403926491737366,0.8519468903541565,0.9227555990219116,0.9489813446998596,0.269021600484848,0.7444734573364258,0.8506054878234863,0.2675192058086395,0.8540690541267395,0.8259840607643127,0.3347359895706177,0.24334463477134705,0.9346688389778137,0.2882955074310303,0.2574601173400879,0.9147551655769348,0.3086433410644531,0.24043582379817963,0.7629290223121643,0.2752929627895355,0.8272108435630798,0.17466671764850616,0.18844656646251678,0.2821629047393799,0.9131411910057068,0.338853657245636,0.9101715087890625,0.263133704662323,0.8418365120887756,0.8339882493019104,0.774453341960907,0.9382999539375305,0.8267843723297119
01000.pt,0.9462777376174927,0.8702133297920227,0.27071940898895264,0.8598654866218567,0.29499295353889465,0.7513018250465393,0.35134780406951904,0.8486897945404053,0.19255931675434113,0.94547039270401,0.95096355676651,0.9953615665435791,0.2131192833185196,0.24672546982765198,0.9290051460266113,0.9313439130783081,0.9227228760719299,0.7816576361656189,0.8424651622772217,0.20570874214172363,0.7743709683418274,0.3748142123222351,0.8163266181945801,0.8287646174430847,0.9710099101066589,0.216364324092865,0.23079687356948853,0.3155783712863922,0.19429998099803925,0.38657286763191223,0.5408299565315247,0.7917660474777222,0.2881237268447876,0.8490241765975952,0.22697415947914124,0.430010586977005,0.942106306552887,0.9211540818214417,0.834223747253418,0.8297067880630493,0.9449055194854736,0.8506606817245483,0.8358960747718811,0.8123276233673096,0.9449998140335083,0.13795335590839386,0.9177579283714294,0.8404510021209717,0.8520628809928894,0.9231773614883423,0.9487094879150391,0.2691873013973236,0.7439686059951782,0.8511837124824524,0.2675328254699707,0.8539338707923889,0.8255802392959595,0.3306960165500641,0.24334478378295898,0.9346346855163574,0.2894967198371887,0.25746026635169983,0.9141054153442383,0.3050976097583771,0.23983721435070038,0.7616907358169556,0.2751091420650482,0.8282423615455627,0.1749267727136612,0.1854153424501419,0.2811511158943176,0.9126483798027039,0.3351883292198181,0.9094812273979187,0.263232558965683,0.8418402671813965,0.834360659122467,0.7738743424415588,0.9377968311309814,0.8266764879226685
02000.pt,0.9462465643882751,0.8689033389091492,0.26098471879959106,0.8609216213226318,0.2773117423057556,0.7424426674842834,0.34668731689453125,0.8436994552612305,0.1950143575668335,0.9442465901374817,0.9487754106521606,0.995188295841217,0.2117966115474701,0.24946139752864838,0.9285841584205627,0.930349588394165,0.921997606754303,0.7767701745033264,0.8397349119186401,0.2063814252614975,0.7733005285263062,0.3702220022678375,0.8129621744155884,0.8279427886009216,0.9699941277503967,0.22277671098709106,0.2155316174030304,0.3165629804134369,0.19567736983299255,0.40562525391578674,0.5408298373222351,0.7914154529571533,0.27947527170181274,0.8487555980682373,0.22584252059459686,0.43357157707214355,0.9393556714057922,0.9208317995071411,0.8346499800682068,0.8250855803489685,0.9436675906181335,0.848507821559906,0.8338896036148071,0.8106087446212769,0.9453569650650024,0.1314442902803421,0.9157693982124329,0.8384410738945007,0.8515098094940186,0.9214754700660706,0.9484016299247742,0.26933586597442627,0.7440414428710938,0.8496743440628052,0.2591060996055603,0.8488980531692505,0.8246527910232544,0.33348381519317627,0.24396534264087677,0.9332820773124695,0.2896459102630615,0.25746026635169983,0.9127129912376404,0.3029228150844574,0.23709310591220856,0.7558296918869019,0.26729440689086914,0.8271588683128357,0.1600748896598816,0.1853795200586319,0.2788222134113312,0.9103718996047974,0.3341505527496338,0.9090755581855774,0.2521454095840454,0.8381982445716858,0.8322968482971191,0.7723125219345093,0.9355649948120117,0.8202835321426392
03000.pt,0.9419447779655457,0.8645024299621582,0.2525637447834015,0.8597127199172974,0.25002726912498474,0.7365472912788391,0.3503081202507019,0.8461837768554688,0.1957908272743225,0.9424740672111511,0.9466412663459778,0.9950986504554749,0.21352896094322205,0.2452259659767151,0.9257352948188782,0.9236912131309509,0.9210074543952942,0.7686474919319153,0.8288816213607788,0.21119152009487152,0.7690978646278381,0.36375507712364197,0.8119297027587891,0.8122991323471069,0.9693598747253418,0.21613863110542297,0.2144765853881836,0.3211110830307007,0.1977662742137909,0.4015488922595978,0.5408300757408142,0.7898232936859131,0.2849137485027313,0.8399108648300171,0.2155873328447342,0.4410843253135681,0.9368836879730225,0.918851375579834,0.8229672908782959,0.8119177222251892,0.9409209489822388,0.8416958451271057,0.8287867903709412,0.8083576560020447,0.9434689283370972,0.11112377792596817,0.9121640920639038,0.8275913000106812,0.8409141898155212,0.9171174168586731,0.9478340744972229,0.2710336446762085,0.7406550049781799,0.8461745381355286,0.25536930561065674,0.8445491790771484,0.8169384598731995,0.3334835469722748,0.2439645528793335,0.9303280711174011,0.28172892332077026,0.2574599087238312,0.9116091132164001,0.3048902153968811,0.23416519165039062,0.7571569681167603,0.2606515884399414,0.8154979944229126,0.15332236886024475,0.1737738400697708,0.2756752371788025,0.9044739603996277,0.3362260162830353,0.9014872908592224,0.2622385621070862,0.8331542015075684,0.8207607269287109,0.772312581539154,0.9346482157707214,0.8140151500701904
04000.pt,0.942182183265686,0.864414393901825,0.2401123344898224,0.8582677245140076,0.2535627484321594,0.730117678642273,0.3724108934402466,0.8450188040733337,0.19585825502872467,0.9424437880516052,0.9462146162986755,0.9947780966758728,0.21039612591266632,0.24963180720806122,0.9241713881492615,0.9212177991867065,0.9189298152923584,0.7688555717468262,0.8290926218032837,0.2013614922761917,0.7539727687835693,0.3637501001358032,0.806135356426239,0.8077524900436401,0.9679632186889648,0.2195681929588318,0.19851014018058777,0.317060261964798,0.19955405592918396,0.3853271007537842,0.5234337449073792,0.7898247838020325,0.28561335802078247,0.8358081579208374,0.2130463719367981,0.4400574564933777,0.9357888698577881,0.9178615808486938,0.8217326402664185,0.8131925463676453,0.9395914077758789,0.8384255766868591,0.8247184753417969,0.8059181571006775,0.9412888884544373,0.1043262779712677,0.9095515012741089,0.8253092169761658,0.8327657580375671,0.9146422743797302,0.9446534514427185,0.27424055337905884,0.7350261211395264,0.8428806662559509,0.2579806447029114,0.8428881168365479,0.8158755898475647,0.33348363637924194,0.23885323107242584,0.9287452101707458,0.28491976857185364,0.25745993852615356,0.9109182953834534,0.3106728792190552,0.2323867529630661,0.7538458108901978,0.25926443934440613,0.8138853907585144,0.16963915526866913,0.1629481464624405,0.2745691239833832,0.9036132097244263,0.33419036865234375,0.9013887643814087,0.2697598934173584,0.83304363489151,0.8180200457572937,0.772312343120575,0.9332315325737,0.8115412592887878
05000.pt,0.9403730034828186,0.8642694354057312,0.24463830888271332,0.8580795526504517,0.26035672426223755,0.7305763363838196,0.3724106550216675,0.8465782999992371,0.1951688826084137,0.9423182010650635,0.9462289214134216,0.9945668578147888,0.20886245369911194,0.2639349102973938,0.9228025674819946,0.9198759198188782,0.917516827583313,0.7683179378509521,0.8275941014289856,0.20150622725486755,0.7541221976280212,0.3633086681365967,0.8048036694526672,0.8039284348487854,0.9667149782180786,0.21113203465938568,0.196157768368721,0.31617724895477295,0.19571490585803986,0.38396748900413513,0.5192578434944153,0.789824903011322,0.2850247919559479,0.8363505601882935,0.21782059967517853,0.4352406859397888,0.9317127466201782,0.9163258075714111,0.8203485012054443,0.813893735408783,0.939190685749054,0.8376518487930298,0.8237595558166504,0.8061110377311707,0.9411517381668091,0.10969574004411697,0.9072734117507935,0.8218995928764343,0.8326141834259033,0.9136159420013428,0.9442760944366455,0.2704426348209381,0.725534200668335,0.8413002490997314,0.25067731738090515,0.8392172455787659,0.8142491579055786,0.326835036277771,0.23885278403759003,0.9254993796348572,0.2762148082256317,0.2574598789215088,0.9103530645370483,0.31106677651405334,0.2293321043252945,0.7501193284988403,0.26170945167541504,0.8106010556221008,0.18289229273796082,0.163051575422287,0.27509385347366333,0.9027206301689148,0.3289301097393036,0.8986436724662781,0.23917768895626068,0.8332094550132751,0.8157299757003784,0.7634739875793457,0.9311325550079346,0.8086017370223999
06000.pt,0.9396055936813354,0.8614197373390198,0.23762942850589752,0.8574989438056946,0.25940510630607605,0.7278217077255249,0.3495584726333618,0.844763457775116,0.19558918476104736,0.9425602555274963,0.9447071552276611,0.994453489780426,0.1983969509601593,0.2644681930541992,0.9205915927886963,0.9196382164955139,0.9166082739830017,0.7652314305305481,0.826347291469574,0.2007422298192978,0.7513772249221802,0.3621833622455597,0.8045922517776489,0.8024660348892212,0.965921938419342,0.21081694960594177,0.19776497781276703,0.3142543137073517,0.1896899938583374,0.3872021734714508,0.5192579030990601,0.7898247241973877,0.2846939265727997,0.8341819643974304,0.21490821242332458,0.43091854453086853,0.9305096864700317,0.9155139923095703,0.815565288066864,0.8113506436347961,0.9391236901283264,0.8358865976333618,0.8212870955467224,0.8057303428649902,0.9408952593803406,0.11106453835964203,0.9068534970283508,0.821090042591095,0.8334141373634338,0.9142646789550781,0.9437683820724487,0.2689998149871826,0.7234194874763489,0.835824191570282,0.2444101721048355,0.8394409418106079,0.8143391609191895,0.3268350660800934,0.23885241150856018,0.9242563247680664,0.2653956115245819,0.2548663318157196,0.9101499915122986,0.3133295178413391,0.2247498780488968,0.7484608888626099,0.2608354985713959,0.8068518042564392,0.17883805930614471,0.16270901262760162,0.2759227156639099,0.902675211429596,0.3277992606163025,0.8975779414176941,0.24539263546466827,0.8352569937705994,0.8162059783935547,0.7634738683700562,0.9306859374046326,0.8057187795639038
07000.pt,0.9386923909187317,0.8614195585250854,0.224798783659935,0.8566832542419434,0.26110488176345825,0.7242477536201477,0.3523947298526764,0.8438112735748291,0.19759057462215424,0.9419454336166382,0.9436483979225159,0.994476318359375,0.20040585100650787,0.2604581117630005,0.9208858609199524,0.9189187288284302,0.9164275527000427,0.7639655470848083,0.8247369527816772,0.20122012495994568,0.7527866959571838,0.35398176312446594,0.8060117959976196,0.7999511361122131,0.9661949276924133,0.21755613386631012,0.19412940740585327,0.31288790702819824,0.19036564230918884,0.389556884765625,0.5192582607269287,0.7911781668663025,0.282418817281723,0.8345858454704285,0.21429593861103058,0.4350878596305847,0.9304753541946411,0.9149004220962524,0.8131346702575684,0.8105567097663879,0.9391070008277893,0.8342368602752686,0.8211066722869873,0.804751455783844,0.9410095810890198,0.10511630028486252,0.9062361717224121,0.8186994791030884,0.8333980441093445,0.914671003818512,0.9432580471038818,0.2633502185344696,0.7212411165237427,0.8341054916381836,0.24458202719688416,0.8386523127555847,0.8145365118980408,0.3268347680568695,0.23885194957256317,0.9236940145492554,0.25854718685150146,0.254865825176239,0.9098265171051025,0.3109990656375885,0.22664226591587067,0.7487689256668091,0.26248469948768616,0.8043072819709778,0.1820310652256012,0.16450795531272888,0.277013897895813,0.9017220139503479,0.32544392347335815,0.8987622857093811,0.23517127335071564,0.8340373635292053,0.8178297281265259,0.7638934850692749,0.9293904900550842,0.8050455451011658
08000.pt,0.9386553168296814,0.8610602617263794,0.22818687558174133,0.856296718120575,0.26162663102149963,0.7249562740325928,0.3462570905685425,0.8436727523803711,0.197207972407341,0.9417809247970581,0.9435734152793884,0.9944881796836853,0.19986914098262787,0.25743356347084045,0.9209096431732178,0.9186853170394897,0.9167044758796692,0.7632344961166382,0.8247953057289124,0.20052021741867065,0.7517780661582947,0.35336270928382874,0.8066442012786865,0.800861656665802,0.9662530422210693,0.2181214541196823,0.19151727855205536,0.3108105957508087,0.18851011991500854,0.385341078042984,0.5192580819129944,0.791178286075592,0.28387877345085144,0.8339943885803223,0.20599012076854706,0.4405841827392578,0.9305466413497925,0.9143703579902649,0.814010500907898,0.8104218244552612,0.9395591616630554,0.8347726464271545,0.8199217915534973,0.8041613101959229,0.9407792687416077,0.1067352443933487,0.906014621257782,0.8180233240127563,0.8341249227523804,0.9146628379821777,0.942918598651886,0.263235867023468,0.7205714583396912,0.8336008787155151,0.2462919056415558,0.8382776379585266,0.8147801756858826,0.32683470845222473,0.2388521134853363,0.924015462398529,0.25907817482948303,0.2548660337924957,0.9099811315536499,0.30928218364715576,0.22391542792320251,0.7475588321685791,0.26427242159843445,0.8032723069190979,0.18156737089157104,0.16371075809001923,0.27675777673721313,0.9016304612159729,0.3261159658432007,0.8982279896736145,0.24679182469844818,0.8325104713439941,0.8186895847320557,0.7638934850692749,0.9293861985206604,0.8049604892730713
09000.pt,0.9388624429702759,0.8608554601669312,0.22845813632011414,0.8562255501747131,0.2579589784145355,0.7255465984344482,0.34750673174858093,0.8437373042106628,0.19720782339572906,0.9417359828948975,0.9434826374053955,0.9944960474967957,0.19852185249328613,0.2546943724155426,0.9204016923904419,0.9188342094421387,0.9165821671485901,0.7631953358650208,0.8252580165863037,0.2000407874584198,0.7517475485801697,0.3533623516559601,0.8057317137718201,0.8005799651145935,0.9662531018257141,0.21724413335323334,0.19114093482494354,0.31101560592651367,0.19290180504322052,0.38579481840133667,0.521973729133606,0.7911780476570129,0.282174289226532,0.8332535624504089,0.20548121631145477,0.44151100516319275,0.9308353066444397,0.9138578176498413,0.812582790851593,0.8101906180381775,0.9390870332717896,0.833695650100708,0.8201818466186523,0.804465115070343,0.9406414031982422,0.10513920336961746,0.9061887264251709,0.8189668655395508,0.8317019939422607,0.9137516617774963,0.9426673054695129,0.26322177052497864,0.7191384434700012,0.8340559601783752,0.24783504009246826,0.8378677368164062,0.8150421977043152,0.3268342614173889,0.2388518899679184,0.9234035611152649,0.2603871822357178,0.2548659145832062,0.9103350639343262,0.30670100450515747,0.22386682033538818,0.748611330986023,0.26481005549430847,0.8015173077583313,0.1830790489912033,0.1659630835056305,0.27552035450935364,0.9012590646743774,0.3259444832801819,0.8977824449539185,0.24771760404109955,0.8316673040390015,0.8189446926116943,0.7640312910079956,0.9292634129524231,0.8040874600410461
